match_id,team_name,player_name,minute,second,period,location_x,location_y,play_pattern_name,shot_statsbomb_xg,shot_outcome_name,shot_type_name,shot_technique_name,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_aerial_won,under_pressure
3938645,Ukraine,Artem Dovbyk,20,26,1,94.9,34.0,Regular Play,0.040268533,Off T,Open Play,Normal,Left Foot,,,,,True
3938645,Belgium,Arthur Theate,22,53,1,94.4,19.7,Regular Play,0.008175447,Off T,Open Play,Normal,Left Foot,,,,,True
3938645,Ukraine,Volodymyr Brazhko,25,55,1,91.9,51.3,From Goal Kick,0.018024947,Blocked,Open Play,Normal,Right Foot,,,,,True
3938645,Ukraine,Georgiy Sudakov,26,59,1,95.9,37.0,Regular Play,0.046265554,Off T,Open Play,Normal,Right Foot,True,,,,
3938645,Ukraine,Roman Yaremchuk,28,9,1,111.3,37.0,Regular Play,0.10216147,Off T,Open Play,Normal,Head,,,,,
3938645,Belgium,Kevin De Bruyne,32,31,1,88.1,69.5,From Free Kick,0.005830124,Off T,Free Kick,Normal,Right Foot,,,,,
3938645,Ukraine,Georgiy Sudakov,33,57,1,104.2,29.9,From Throw In,0.04998817,Saved,Open Play,Half Volley,Right Foot,,,,,True
3938645,Ukraine,Georgiy Sudakov,43,19,1,89.8,17.6,From Free Kick,0.0074785133,Saved,Free Kick,Normal,Right Foot,,,,,
3938645,Belgium,Kevin De Bruyne,45,3,1,100.3,24.5,Regular Play,0.027014952,Saved,Open Play,Normal,Right Foot,,,,,
3938645,Belgium,Youri Tielemans,51,24,2,96.3,25.6,Regular Play,0.02085355,Blocked,Open Play,Normal,Right Foot,,,,,
3938645,Belgium,Youri Tielemans,51,59,2,98.2,46.6,From Corner,0.03379251,Blocked,Open Play,Half Volley,Right Foot,,,,,True
3938645,Belgium,Jeremy Doku,54,55,2,100.3,45.7,From Corner,0.04610922,Blocked,Open Play,Normal,Left Foot,,,,,
3938645,Belgium,Romelu Lukaku Menama,64,0,2,105.3,54.2,From Counter,0.032758437,Saved,Open Play,Normal,Left Foot,,,,,True
3938645,Belgium,Yannick Ferreira Carrasco,72,33,2,102.0,34.5,Regular Play,0.06505812,Saved,Open Play,Normal,Right Foot,,,,,
3938645,Belgium,Jeremy Doku,72,42,2,101.9,39.2,Regular Play,0.049519155,Blocked,Open Play,Normal,Right Foot,,,,,
3938645,Ukraine,Artem Dovbyk,74,3,2,116.1,30.6,From Throw In,0.054199155,Blocked,Open Play,Half Volley,Left Foot,,,,,True
3938645,Ukraine,Artem Dovbyk,78,50,2,108.5,53.2,From Throw In,0.0340628,Off T,Open Play,Normal,Right Foot,,,,,
3938645,Ukraine,Ruslan Malinovskiy,82,10,2,119.0,79.3,From Corner,0.00018,Saved,Corner,Normal,Left Foot,,True,,,
3938645,Ukraine,Taras Stepanenko,82,39,2,112.4,45.3,From Corner,0.06703938,Off T,Open Play,Normal,Head,,,,,
3938645,Ukraine,Andriy Yarmolenko,84,44,2,94.1,50.8,Regular Play,0.015305686,Blocked,Open Play,Normal,Right Foot,,,,,
3938645,Belgium,Johan Bakayoko,86,51,2,103.2,48.4,From Counter,0.06330791,Off T,Open Play,Normal,Left Foot,True,,,,
3938645,Ukraine,Ruslan Malinovskiy,87,38,2,97.8,42.7,From Goal Kick,0.06252074,Blocked,Open Play,Normal,Left Foot,True,,,,
3938645,Ukraine,Georgiy Sudakov,90,37,2,104.4,44.6,From Counter,0.18075049,Saved,Open Play,Normal,Right Foot,,,,,
3938645,Belgium,Yannick Ferreira Carrasco,92,0,2,108.7,18.4,Regular Play,0.007042983,Blocked,Open Play,Normal,Right Foot,,,,,
3930184,Czech Republic,Lukáš Provod,1,56,1,99.4,27.2,Regular Play,0.031836256,Saved,Open Play,Normal,Left Foot,,,,,True
3930184,Turkey,Kenan Yildiz,6,30,1,112.6,21.5,Regular Play,0.008673587,Blocked,Open Play,Normal,Right Foot,,,,,
3930184,Turkey,Arda Güler,12,38,1,90.5,37.1,Regular Play,0.026633171,Off T,Open Play,Normal,Left Foot,,,,,
3930184,Czech Republic,David Jurásek,14,15,1,80.6,30.1,From Throw In,0.0066083334,Saved,Open Play,Normal,Left Foot,True,,,,True
3930184,Czech Republic,Robin Hranáč,16,21,1,113.5,37.1,From Throw In,0.2578839,Off T,Open Play,Normal,Head,,True,,,
3930184,Czech Republic,Robin Hranáč,22,57,1,112.5,35.8,From Free Kick,0.07917333,Blocked,Open Play,Half Volley,Right Foot,,,,,
3930184,Turkey,Kenan Yildiz,26,28,1,111.7,25.6,Regular Play,0.033986952,Blocked,Open Play,Normal,Left Foot,,,,,True
3930184,Turkey,Arda Güler,26,34,1,112.9,36.9,Regular Play,0.17483498,Blocked,Open Play,Volley,Left Foot,True,,,,
3930184,Turkey,Samet Akaydin,27,4,1,113.2,33.9,From Corner,0.07527008,Off T,Open Play,Normal,Head,,,,,
3930184,Turkey,Hakan Çalhanoğlu,41,38,1,114.8,55.0,From Free Kick,0.011782922,Blocked,Open Play,Normal,Right Foot,,,,,True
3930184,Turkey,Hakan Çalhanoğlu,42,29,1,98.6,58.7,From Free Kick,0.0105593875,Off T,Open Play,Normal,Right Foot,,,,,
3930184,Czech Republic,David Jurásek,44,17,1,110.3,23.8,From Counter,0.07308208,Saved,Open Play,Normal,Left Foot,True,,,,
3930184,Turkey,Arda Güler,48,2,1,98.0,49.4,From Throw In,0.03921402,Off T,Open Play,Normal,Right Foot,,,,,True
3930184,Turkey,Barış Alper Yılmaz,45,53,2,115.1,50.8,From Throw In,0.048628997,Saved,Open Play,Normal,Head,,True,,True,True
3930184,Turkey,Kenan Yildiz,46,49,2,99.6,29.5,From Corner,0.039678648,Off T,Open Play,Half Volley,Right Foot,True,,,,
3930184,Czech Republic,Adam Hložek,49,50,2,99.0,48.6,From Free Kick,0.03270364,Saved,Open Play,Normal,Left Foot,,,,,
3930184,Turkey,Kenan Yildiz,50,39,2,106.4,37.9,From Keeper,0.103175014,Blocked,Open Play,Normal,Right Foot,True,,,,
3930184,Turkey,Kenan Yildiz,50,41,2,109.4,42.3,From Keeper,0.12868324,Saved,Open Play,Normal,Right Foot,True,,,,
3930184,Turkey,İsmail Yüksek,50,44,2,98.8,38.1,From Keeper,0.04587865,Blocked,Open Play,Normal,Right Foot,,,,,
3930184,Turkey,Hakan Çalhanoğlu,50,48,2,109.2,26.0,From Keeper,0.07116598,Goal,Open Play,Normal,Right Foot,True,,,,
3930184,Czech Republic,Ladislav Krejčí,63,12,2,114.8,49.8,From Free Kick,0.050790045,Saved,Open Play,Normal,Head,,,,,
3930184,Czech Republic,Tomáš Chorý,65,23,2,116.0,44.0,From Throw In,0.55123883,Blocked,Open Play,Half Volley,Right Foot,,,,,
3930184,Czech Republic,Tomáš Souček,65,25,2,113.6,46.4,From Throw In,0.1198459,Goal,Open Play,Half Volley,Right Foot,True,,,,
3930184,Turkey,Kenan Yildiz,72,15,2,111.8,34.4,From Free Kick,0.1691182,Blocked,Open Play,Normal,Left Foot,,,,,True
3930184,Czech Republic,Ondřej Lingr,79,33,2,111.9,32.5,From Throw In,0.10603972,Wayward,Open Play,Normal,Right Foot,True,,,,
3930184,Czech Republic,Ondřej Lingr,79,54,2,112.7,34.1,From Throw In,0.07450897,Off T,Open Play,Normal,Head,,,,True,True
3930184,Turkey,Okay Yokuşlu,86,8,2,95.4,36.3,From Goal Kick,0.040461615,Off T,Open Play,Normal,Right Foot,True,,,,
3930184,Czech Republic,Matěj Jurásek,90,0,2,98.5,28.7,From Goal Kick,0.026611561,Blocked,Open Play,Normal,Right Foot,,,,,
3930184,Turkey,Barış Alper Yılmaz,91,50,2,99.1,45.5,From Free Kick,0.103810854,Saved,Open Play,Normal,Left Foot,,,,,
3930184,Turkey,Cenk Tosun,93,45,2,105.3,34.5,From Counter,0.08598739,Goal,Open Play,Normal,Right Foot,,,,,
3941022,Turkey,Merih Demiral,0,58,1,115.8,39.0,From Corner,0.4581151,Goal,Open Play,Normal,Left Foot,True,,,,
3941022,Austria,Christoph Baumgartner,2,10,1,101.4,51.9,From Kick Off,0.043312646,Off T,Open Play,Normal,Right Foot,,,,,
3941022,Austria,Philipp Lienhart,6,40,1,115.8,47.4,From Corner,0.12085788,Off T,Open Play,Normal,Head,,,,,
3941022,Austria,Marcel Sabitzer,11,13,1,89.9,35.2,From Free Kick,0.042849332,Blocked,Free Kick,Normal,Right Foot,,,,,
3941022,Austria,Philipp Lienhart,11,51,1,103.8,36.1,From Corner,0.060313236,Blocked,Open Play,Half Volley,Right Foot,True,,,,
3941022,Turkey,Arda Güler,18,37,1,59.0,42.3,Regular Play,0.0070581385,Off T,Open Play,Lob,Left Foot,,,,,True
3941022,Turkey,Merih Demiral,24,3,1,115.8,45.8,From Corner,0.10399367,Off T,Open Play,Normal,Other,,,,,
3941022,Austria,Marcel Sabitzer,32,40,1,93.9,22.4,Regular Play,0.00823542,Blocked,Open Play,Normal,Right Foot,,,,,
3941022,Austria,Christoph Baumgartner,45,57,1,111.4,45.6,Regular Play,0.16866307,Off T,Open Play,Normal,Left Foot,True,,,,True
3941022,Austria,Michael Gregoritsch,49,32,2,107.7,35.0,Regular Play,0.0427339,Off T,Open Play,Normal,Head,,,,True,True
3941022,Austria,Marko Arnautović,50,32,2,110.1,44.6,Regular Play,0.29855767,Saved,Open Play,Normal,Right Foot,True,,,,True
3941022,Austria,Konrad Laimer,52,24,2,103.9,38.4,From Throw In,0.10591905,Off T,Open Play,Normal,Left Foot,,,,,
3941022,Austria,Stefan Posch,53,39,2,108.2,50.3,From Throw In,0.06528039,Blocked,Open Play,Half Volley,Right Foot,,,,,True
3941022,Turkey,Ferdi Erenay Kadıoğlu,56,14,2,109.5,25.2,Regular Play,0.050657645,Blocked,Open Play,Normal,Right Foot,,,,,
3941022,Turkey,Merih Demiral,58,51,2,116.9,44.8,From Corner,0.1547648,Goal,Open Play,Normal,Head,,,,True,True
