id,match_id,team_name,player_name,minute,second,period,location_x,location_y,play_pattern_name,shot_statsbomb_xg,shot_outcome_name,shot_type_name,shot_technique_name,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_aerial_won,under_pressure,defenders_in_cone,nearest_opponent_distance,opponents_within_5m,keeper_distance_to_shot,keeper_distance_to_goal_line,has_360
a0ec75fa-f012-478a-a197-9311d40efe9c,3938642,Czech Republic,David Jurásek,71,48,2,91.8,35.6,From Corner,0.02393963,Off T,Open Play,Normal,Right Foot,,,,,True,4.0,1.515491079568848,3.0,24.15005372513534,4.167268625845622,1
6b01db42-7f83-4d6f-ad90-144d57b3f3ea,3938642,Czech Republic,Mojmír Chytil,76,20,2,112.8,32.5,From Goal Kick,0.066270776,Off T,Open Play,Normal,Head,,,,True,True,0.0,0.5924039446405873,1.0,6.640788348981116,2.5220678522743327,1
c3cfea35-266d-4c0a-b723-a50633dee1b4,3938642,Czech Republic,Ondřej Lingr,77,15,2,100.9,45.2,From Counter,0.06684302,Saved,Open Play,Normal,Right Foot,,,,,True,0.0,1.215038074350826,3.0,15.157756044624648,4.557314392279352,1
e8361397-0802-47de-a840-a4f54dd2c7f6,3938642,Czech Republic,Matěj Jurásek,78,42,2,92.7,59.5,From Throw In,0.0065820687,Off T,Open Play,Normal,Left Foot,,,,,,1.0,6.580730316986447,0.0,30.668177733551044,3.2852135042570865,1
38f4abfd-fe88-4af6-9008-5f32a1c91be4,3938642,Czech Republic,Matěj Jurásek,93,38,2,101.0,23.0,Regular Play,0.029686315,Saved,Open Play,Normal,Right Foot,,,,,True,1.0,1.174657555057195,3.0,20.990844624503442,3.7288591928392236,1
e12f177c-1864-4082-a3d5-c408e9ff15be,3938642,Czech Republic,Tomáš Holeš,94,44,2,88.9,41.4,From Free Kick,0.01932125,Blocked,Open Play,Normal,Right Foot,True,,,,,1.0,9.205013471266815,0.0,27.76405049593846,3.542839791962791,1
53666e5d-89a4-4093-bfd6-6e338a4fe6cd,3938642,Georgia,Saba Lobzhanidze,94,55,2,108.1,49.2,From Counter,0.30646315,Off T,Open Play,Normal,Right Foot,True,,,,,0.0,7.596080081479288,0.0,6.892169376321682,6.389121718322528,1
ef50d692-5443-46ab-8184-3c364088f64d,3938639,Turkey,Kaan Ayhan,5,28,1,113.7,37.4,From Corner,0.109281614,Off T,Open Play,Normal,Head,,,,True,True,0.0,1.070688372797377,6.0,4.183785837285062,2.241737862070508,1
e5ea0903-0e04-4679-a859-1a118b61e8d5,3938639,Turkey,Hakan Çalhanoğlu,6,50,1,99.0,59.3,Regular Play,0.0104925465,Blocked,Open Play,Normal,Right Foot,,,,,,1.0,6.198764661976554,0.0,24.168996598826563,1.6146404266316523,1
ac2f83da-2a5d-4a83-937d-9b88c1012ced,3938639,Turkey,Abdülkerim Bardakcı,9,3,1,113.4,36.5,From Corner,0.11773408,Off T,Open Play,Normal,Head,,,,True,True,0.0,0.6276842759572182,6.0,4.90501405474053,1.850466288727688,1
01957648-4082-47e8-a258-648fd84a4514,3938639,Turkey,Kaan Ayhan,9,43,1,98.2,32.6,Regular Play,0.047329877,Post,Open Play,Normal,Right Foot,True,,,,,1.0,3.2245249847009654,1.0,20.0498951540325,2.673666446560304,1
